Optimizer,LayerSize,LR,Momentum,Alpha,BaseThreshold,DynamicThreshold,Accuracy
SGD,32,0.000262158,0.854019,N/A,1,0,96.92
LowPassFilter,32,0.00019602,N/A,0.366498,1,0,94.885
SGD,32,0.000885854,0.798883,N/A,1,0,96.92
LowPassFilter,32,2.13613e-05,N/A,0.287024,1,0,89.71
SGD,32,0.000459051,0.892853,N/A,1,0,96.99
LowPassFilter,32,0.000307537,N/A,0.397383,1,0,95.69
SGD,32,0.000741879,0.872254,N/A,1,0,96.865
LowPassFilter,32,0.000637755,N/A,0.048506,1,0,96.36
SGD,32,0.000361298,0.733575,N/A,1,0,96.75
LowPassFilter,32,0.000707336,N/A,0.0746515,1,0,96.235
SGD,32,0.000386817,0.964234,N/A,1,0,96.85
LowPassFilter,32,0.000154894,N/A,0.265307,1,0,95.115
SGD,64,0.00073608,0.797233,N/A,1,0,98.065
LowPassFilter,64,0.000418784,N/A,0.0642271,1,0,97.195
SGD,64,0.000484325,0.849123,N/A,1,0,98.03
LowPassFilter,64,0.000762894,N/A,0.38073,1,0,97.645
SGD,64,0.000828079,0.752024,N/A,1,0,97.75
LowPassFilter,64,0.000271536,N/A,0.118495,1,0,96.905
SGD,64,0.000184982,0.845462,N/A,1,0,97.85
LowPassFilter,64,2.36887e-05,N/A,0.230382,1,0,91.635
SGD,64,5.74944e-05,0.762744,N/A,1,0,96.94
LowPassFilter,64,0.000790688,N/A,0.0782869,1,0,97.525
SGD,64,0.000216618,0.754803,N/A,1,0,97.67
LowPassFilter,64,0.000959019,N/A,0.215336,1,0,97.505
SGD,64,0.00087417,0.970996,N/A,1,0,97.82
LowPassFilter,64,0.000563217,N/A,0.0761354,1,0,97.425
SGD,64,0.000182153,0.736907,N/A,1,0,97.585
LowPassFilter,64,0.000759375,N/A,0.226399,1,0,97.575
SGD,64,0.000684146,0.770666,N/A,1,0,98.08
LowPassFilter,64,0.000285696,N/A,0.323593,1,0,97.055
SGD,64,0.000112446,0.815806,N/A,1,0,97.55
LowPassFilter,64,0.000970573,N/A,0.046185,1,0,97.485
SGD,64,0.000512528,0.881559,N/A,1,0,97.935
LowPassFilter,64,0.000960578,N/A,0.0942546,1,0,97.79
SGD,64,0.000141361,0.950196,N/A,1,0,97.9
LowPassFilter,64,0.000468041,N/A,0.298756,1,0,97.34
SGD,64,0.000738694,0.759653,N/A,1,0,97.84
LowPassFilter,64,0.00073528,N/A,0.343309,1,0,97.665
SGD,64,0.000539942,0.974883,N/A,1,0,97.875
LowPassFilter,64,0.000857118,N/A,0.310541,1,0,97.695
SGD,64,5.37876e-05,0.97777,N/A,1,0,97.84
LowPassFilter,64,0.000664965,N/A,0.180345,1,0,97.54
SGD,64,0.000584914,0.857243,N/A,1,0,98.115
LowPassFilter,64,5.73034e-05,N/A,0.185813,1,0,94.18
